rental_rate,film_id,length,rental_duration,title,rating,replacement_cost
5.8,5689,104,5.8,The Blue Lagoon,11.578578,11.58
7.6,391,99,7.6,A Fistful of Dollars,12.429704,12.43
6.8,8052,96,6.8,Hard Eight,7.04756,7.05
6.3,772,120,6.3,Home Alone 2: Lost in New York,13.293722,13.29
4.9,65448,99,4.9,Penitentiary,0.232477,0.23
3,65452,108,3,Penitentiary II,0.004425,0
5.8,31650,106,5.8,Someone to Watch Over Me,3.50111,3.5
8,73575,84,8,Sparrows,0.445526,0.45
0,302579,107,0,Naturally Native,0.101618,0.1
8.3,550,139,8.3,Fight Club,63.869599,63.87
4.6,97537,97,4.6,Beefcake,0.653879,0.65
5.9,12220,95,5.9,The Story of Us,5.769957,5.77
6.1,1610,102,6.1,Fever Pitch,6.906939,6.91
6.3,53151,93,6.3,Joe the King,1.487046,1.49
7.1,42881,96,7.1,Julien Donkey-Boy,1.34763,1.35
4.4,29064,100,4.4,The Omega Code,1.789046,1.79
7.7,404,112,7.7,The Straight Story,14.580995,14.58
7.1,42196,129,7.1,The Bad Seed,7.975238,7.98
6.6,36819,116,6.6,Time Bandits,9.841623,9.84
7.2,42726,102,7.2,A Man and a Woman,2.924112,2.92
7.7,9343,158,7.7,Fitzcarraldo,4.760938,4.76
7.3,16858,123,7.3,All That Jazz,5.632325,5.63
7,42006,91,7,Red Sorghum,2.045228,2.05
7.4,11562,104,7.4,Crimes and Misdemeanors,6.645295,6.65
4.1,10496,91,4.1,Bats,2.584025,2.58
6.8,16162,120,6.8,The Best Man,5.055141,5.06
6.6,8649,121,6.6,Bringing Out the Dead,8.825864,8.83
6.5,31306,111,6.5,Crazy in Alabama,7.250842,7.25
5.4,10563,98,5.4,Three to Tango,5.594358,5.59
4.7,14484,106,4.7,Body Shots,4.607583,4.61
7,214735,105,7,Men Cry Bullets,0.920469,0.92
6,94857,103,6,Brother Can You Spare A Dime,0.037413,0.04
5.3,32043,92,5.3,The Guardian,7.444848,7.44
6.8,15247,109,6.8,The Ipcress File,7.336578,7.34
6.9,29251,96,6.9,On Any Sunday,0.934156,0.93
7.1,5548,102,7.1,RoboCop,13.485583,13.49
5.6,5549,117,5.6,RoboCop 2,10.969876,10.97
7.2,856,104,7.2,Who Framed Roger Rabbit,16.78596,16.79
6.8,38772,95,6.8,Melvin and Howard,6.737435,6.74
6.3,699,127,6.3,For Your Eyes Only,9.765123,9.77
5.9,709,133,5.9,Licence to Kill,11.137888,11.14
6.4,253,121,6.4,Live and Let Die,9.773768,9.77
4.8,13511,89,4.8,Rawhead Rex,3.497943,3.5
6.5,660,130,6.5,Thunderball,10.517835,10.52
7.6,46798,88,7.6,The City,0.467303,0.47
5.5,11377,93,5.5,House on Haunted Hill,10.187278,10.19
6.3,26149,124,6.3,Music of the Heart,3.104943,3.1
7.3,492,112,7.3,Being John Malkovich,11.416319,11.42
6,108346,92,6,Dreaming of Joseph Lees,1.241349,1.24
0,98480,80,0,Man Of The Century,0.007829,0.01
8.2,128,134,8.2,Princess Mononoke,17.166725,17.17
4,46286,81,4,The Suburbans,1.73986,1.74
7.6,8672,95,7.6,My Best Fiend,1.807445,1.81
7.4,8056,103,7.4,Train of Life,3.040512,3.04
4.5,2020,101,4.5,The Bachelor,5.061725,5.06
6.5,9481,118,6.5,The Bone Collector,8.884406,8.88
7.3,9008,157,7.3,The Insider,11.3569,11.36
7.7,14242,107,7.7,American Movie,5.964323,5.96
7,16129,95,7,Last Night,5.466969,5.47
7.5,104103,111,7.5,Portraits Chinois,0.127894,0.13
7.2,11489,95,7.2,Rosetta,2.730118,2.73
7.4,28145,129,7.4,"They Shoot Horses, Don't They?",4.904915,4.9
5.7,51371,77,5.7,Battling Butler,1.09569,1.1
6.1,18111,96,6.1,Bride of Re-Animator,8.244989,8.24
5.7,31361,94,5.7,Bustin' Loose,1.527771,1.53
6.4,11223,113,6.4,Coma,5.617866,5.62
6.7,16281,120,6.7,Creepshow,10.434018,10.43
5.9,16288,92,5.9,Creepshow 2,9.330087,9.33
7,1694,86,7,Re-Animator,9.867238,9.87
7,476,100,7,Drugstore Cowboy,8.026112,8.03
7.2,37094,113,7.2,Falling Down,10.175138,10.18
5.8,13555,96,5.8,The Funhouse,3.99005,3.99
8,961,79,8,The General,8.002953,8
8,73969,80,8,My Best Girl,0.205671,0.21
5.7,24831,94,5.7,Piranha,16.038604,16.04
7.3,64963,104,7.3,Rough Night in Jericho,1.078688,1.08
5.3,85160,85,5.3,Slaughterhouse,1.5568,1.56
6.9,25560,122,6.9,The Taming of the Shrew,2.786435,2.79
6.4,21610,99,6.4,Nighthawks,5.830675,5.83
8,11878,110,8,Yojimbo,10.313688,10.31
4.5,11510,80,4.5,Repossessed,11.966566,11.97
6,11234,98,6,The Omega Man,6.445639,6.45
6.7,957,96,6.7,Spaceballs,9.10373,9.1
7,11886,83,7,Robin Hood,11.179855,11.18
7.3,37853,123,7.3,Mister Roberts,2.593458,2.59
7.2,62204,100,7.2,Quest for Fire,8.341166,8.34
7.5,11040,139,7.5,Little Big Man,8.186994,8.19
7.4,21849,125,7.4,A Face in the Crowd,6.656685,6.66
7.1,1621,116,7.1,Trading Places,14.285052,14.29
5.9,14035,92,5.9,Meatballs,6.613063,6.61
3.5,40771,86,3.5,Meatballs Part II,1.475532,1.48
4.4,40772,96,4.4,Meatballs III: Summer Job,1.667607,1.67
3.3,40773,84,3.3,Meatballs 4,0.921189,0.92
6.7,11498,107,6.7,Dead Again,9.696201,9.7
6.7,11790,101,6.7,Peter's Friends,2.540085,2.54
5.7,29371,94,5.7,The Incredibly True Adventure of Two Girls In Love,2.149553,2.15
7.5,276635,80,7.5,Experience Preferred...But Not Essential,0.122181,0.12
4.9,47941,98,4.9,Under the Rainbow,0.69162,0.69
5.6,29048,109,5.6,How I Won the War,1.494833,1.49
6.6,19052,99,6.6,Light It Up,1.252804,1.25
5.9,21349,114,5.9,Anywhere But Here,12.593734,12.59
6.8,1832,130,6.8,Dogma,8.559088,8.56
6.2,10047,148,6.2,The Messenger: The Story of Joan of Arc,9.471838,9.47
6.7,10228,75,6.7,Pokémon: The First Movie: Mewtwo Strikes Back,7.556826,7.56
6.3,47692,116,6.3,Felicia's Journey,1.850056,1.85
5.4,18561,92,5.4,Oxygen,8.343079,8.34
5.5,144953,101,5.5,Where's Marlowe?,1.193384,1.19
5.3,37426,62,5.3,The Ape,0.691803,0.69
5.8,51787,61,5.8,British Intelligence,0.233318,0.23
7.4,11663,118,7.4,The Commitments,7.442056,7.44
7.1,13485,100,7.1,Holiday Inn,8.258968,8.26
7.3,9289,178,7.3,The Longest Day,10.770928,10.77
5.2,9264,93,5.2,Poison Ivy,6.901684,6.9
4.1,18222,93,4.1,Poison Ivy: The New Seduction,6.146452,6.15
10,124853,108,10,Ten Benny,0.064219,0.06
6.9,11165,144,6.9,Tora! Tora! Tora!,7.262326,7.26
7.6,4203,88,7.6,Women on the Verge of a Nervous Breakdown,5.470331,5.47
7.4,24226,129,7.4,The Verdict,9.596883,9.6
6.9,88875,100,6.9,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,0.473593,0.47
6.3,11379,103,6.3,The Adventures of Buckaroo Banzai Across the 8th Dimension,7.778445,7.78
7.3,29154,103,7.3,Stand and Deliver,5.355761,5.36
6.7,2039,102,6.7,Moonstruck,12.877291,12.88
5.7,77915,117,5.7,The Sandpiper,1.198796,1.2
7.5,11943,108,7.5,Jeremiah Johnson,4.711031,4.71
7.5,11481,105,7.5,Repulsion,6.825852,6.83
7.1,2690,135,7.1,Irma la Douce,5.967967,5.97
6.6,20565,139,6.6,42 Up,0.697268,0.7
6.7,27141,127,6.7,Liberty Heights,2.64721,2.65
6.7,10399,112,6.7,Mansfield Park,6.646005,6.65
7.5,90762,83,7.5,"Goodbye, 20th Century",0.352075,0.35
6.9,2668,105,6.9,Sleepy Hollow,11.072361,11.07
6,36643,128,6,The World Is Not Enough,12.130127,12.13
7.4,99,101,7.4,All About My Mother,10.000915,10
0,159569,102,0,Home Page,0.001183,0
6,77010,86,6,The Living Dead Girl,1.605782,1.61
6.6,25898,73,6.6,Babes in Toyland,7.768271,7.77
6.7,9647,101,6.7,Scrooged,11.465634,11.47
7.7,11787,104,7.7,Harvey,5.306185,5.31
8,5156,93,8,Bicycle Thieves,13.233136,13.23
7.2,24276,132,7.2,Matewan,3.350126,3.35
7.7,11953,180,7.7,Kagemusha,6.206807,6.21
7.1,44662,207,7.1,47 Samurai,5.127806,5.13
7.3,29005,120,7.3,McCabe & Mrs. Miller,5.442081,5.44
7.1,26371,134,7.1,Maurice,5.778465,5.78
7.8,596,129,7.8,The Grapes of Wrath,9.668636,9.67
6.4,52470,92,6.4,My Man Godfrey,0.193758,0.19
7.9,20334,99,7.9,The Shop Around the Corner,7.144236,7.14
7,11393,137,7,The Natural,12.319855,12.32
6.3,31121,109,6.3,Shampoo,3.796195,3.8
7,293,123,7,A River Runs Through It,12.583826,12.58
6.6,10998,119,6.6,Fatal Attraction,14.260779,14.26
6.5,12235,108,6.5,Jagged Edge,3.892311,3.89
5.7,36094,104,5.7,Stanley & Iris,1.914881,1.91
7.2,9013,126,7.2,Midnight Run,5.564321,5.56
7.6,11005,120,7.6,Awakenings,13.201595,13.2
6.1,59820,133,6.1,Come See the Paradise,6.408322,6.41
6.4,2924,137,6.4,Backdraft,9.883727,9.88
7.2,177,137,7.2,The Fisher King,11.184385,11.18
6.5,38557,122,6.5,The River,6.303384,6.3
6.3,42087,105,6.3,Country,0.84372,0.84
7.1,13681,111,7.1,Places in the Heart,3.712567,3.71
5.8,34760,96,5.8,"'night, Mother",0.798428,0.8
5.5,9946,121,5.5,End of Days,9.62371,9.62
7.3,863,92,7.3,Toy Story 2,17.547693,17.55
5.9,31582,112,5.9,Flawless,8.608461,8.61
6.3,125520,103,6.3,Miss Julie,0.994953,0.99
6.6,22267,138,6.6,Ride with the Devil,7.059308,7.06
6.2,55123,102,6.2,Tumbleweeds,0.88888,0.89
6.4,5486,84,6.4,A Bay of Blood,4.725878,4.73
5.7,10411,112,5.7,The Distinguished Gentleman,9.64078,9.64
6.6,41462,71,6.6,The Hitch-Hiker,2.211742,2.21
3.6,1718,110,3.6,Santa Fe Trail,1.548028,1.55
1.7,28604,91,1.7,Lauderdale,1.5338,1.53
6.3,15506,92,6.3,Agnes Browne,6.485631,6.49
6.6,20024,102,6.6,The End of the Affair,6.200344,6.2
6.3,78256,105,6.3,The End of the Affair,0.402828,0.4
5.3,13787,115,5.3,Holy Smoke!,3.176804,3.18
6.4,54933,125,6.4,A Map of the World,1.588189,1.59
6.8,9684,95,6.8,Sweet and Lowdown,6.836569,6.84
5.3,9586,125,5.3,The Bonfire of the Vanities,5.507082,5.51
6,41638,0,6,Broadway Damage,0.051128,0.05
7.4,70801,85,7.4,Daddy-Long-Legs,0.346438,0.35
6.8,33015,69,6.8,Go West,1.014248,1.01
7.5,777,114,7.5,Grand Illusion,6.02384,6.02
6.9,21887,115,6.9,The Great Santini,3.919041,3.92
6.2,5652,81,6.2,The James Dean Story,0.505885,0.51
5.7,19664,120,5.7,The Sea Wolves,3.244148,3.24
5.9,32331,98,5.9,Stealing Home,7.168975,7.17
2.8,76083,85,2.8,Tarzan the Fearless,0.756556,0.76
7.2,32628,63,7.2,Three Ages,1.539713,1.54
6.2,32669,138,6.2,The Two Jakes,4.476578,4.48
6.3,18161,98,6.3,U2: Rattle and Hum,2.143483,2.14
6.8,31681,103,6.8,Hell in the Pacific,2.664145,2.66
4.8,33666,110,4.8,The Glass Bottom Boat,0.942977,0.94
7.2,32274,132,7.2,Cradle Will Rock,6.481649,6.48
5.4,10402,88,5.4,Deuce Bigalow: Male Gigolo,6.567794,6.57
8.2,497,189,8.2,The Green Mile,19.96678,19.97
6.9,1715,126,6.9,The Cider House Rules,9.526781,9.53
5.4,35118,91,5.4,Diamonds,1.652447,1.65
7.2,42739,98,7.2,The War Zone,3.46626,3.47
6.3,26162,83,6.3,The Bat Whispers,0.670708,0.67
7.6,25188,118,7.6,The Last Picture Show,5.961382,5.96
6.8,15515,88,6.8,The 7th Voyage of Sinbad,11.118379,11.12
5.1,75888,93,5.1,Blood on the Sun,1.130503,1.13
6.4,1439,148,6.4,Anna and the King,17.65016,17.65
6.9,2277,131,6.9,Bicentennial Man,9.369918,9.37
5.8,10137,84,5.8,Stuart Little,8.3595,8.36
7.4,10387,162,7.4,The Emperor and the Assassin,1.531997,1.53
7,49948,74,7,Fantasia 2000,14.972573,14.97
7.5,334,188,7.5,Magnolia,9.091636,9.09
5.8,30237,104,5.8,Onegin,7.171138,7.17
5.3,50116,106,5.3,Simpatico,3.143748,3.14
6.7,46435,160,6.7,Topsy-Turvy,5.902126,5.9
2.5,94260,83,2.5,The Alley Cats,0.083996,0.08
4.6,22213,92,4.6,Boiling Point,2.124785,2.12
5.1,47070,93,5.1,Brenda Starr,6.561712,6.56
6.7,36492,98,6.7,Carnal Knowledge,2.837238,2.84
7,624,95,7,Easy Rider,8.635841,8.64
6.5,26578,132,6.5,The Falcon and the Snowman,4.690847,4.69
0,415072,68,0,Hi-Yo Silver,0.001438,0
6,43103,115,6,Room at the Top,1.876199,1.88
6.3,43194,100,6.3,Ulysses,1.993626,1.99
6.8,9563,163,6.8,Any Given Sunday,10.571434,10.57
6.9,1850,118,6.9,Man on the Moon,13.217419,13.22
6.9,926,102,6.9,Galaxy Quest,15.831374,15.83
7.1,1213,139,7.1,The Talented Mr. Ripley,11.65502,11.66
6.5,10471,98,6.5,Next Friday,10.06545,10.07
7.2,10400,146,7.2,The Hurricane,5.716009,5.72
7,10397,145,7,Angela's Ashes,4.496585,4.5
5.7,20761,124,5.7,Play It to the Bone,4.347609,4.35
6.5,12524,162,6.5,Titus,7.295333,7.3
6.3,28216,91,6.3,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",1.157478,1.16
6.1,36773,119,6.1,The Third Miracle,2.269601,2.27
4.8,30814,96,4.8,Montana,1.174927,1.17
6.3,10219,127,6.3,Snow Falling on Cedars,2.813811,2.81
7.6,3558,127,7.6,"Girl, Interrupted",8.285062,8.29
0,104878,80,0,Trans,0.042209,0.04
4,41276,90,4,The Life and Times of Hank Greenberg,0.136087,0.14
6.5,17908,95,6.5,My Dog Skip,7.061185,7.06
4.9,10384,91,4.9,Supernova,5.496624,5.5
2.5,125317,112,2.5,The Quarry,0.203067,0.2
8.1,48233,95,8.1,The Terrorist,0.154526,0.15
7.1,10236,118,7.1,The Way We Were,13.377996,13.38
5,71067,118,5,Tess of the Storm Country,0.126258,0.13
7.6,632,120,7.6,Stalag 17,9.47371,9.47
5.7,11851,97,5.7,The Presidio,3.768935,3.77
7.8,5924,151,7.8,Papillon,15.698433,15.7
5.9,33734,111,5.9,Pal Joey,2.774084,2.77
7.1,14886,103,7.1,The Last Detail,4.344612,4.34
7.2,26617,98,7.2,Five Easy Pieces,9.721297,9.72
6.6,11900,96,6.6,Even Dwarfs Started Small,0.854963,0.85
6.6,10493,96,6.6,Dead Calm,13.464246,13.46
6.6,16241,125,6.6,The Boys from Brazil,5.923299,5.92
7.2,27632,87,7.2,Black Sunday,4.683413,4.68
5.7,22160,128,5.7,Against All Odds,3.027195,3.03
6.1,4460,117,6.1,The Snows of Kilimanjaro,1.799027,1.8
5.7,9644,84,5.7,National Lampoon's Loaded Weapon 1,11.511683,11.51
8,43455,99,8,The Loves of Carmen,0.366948,0.37
7,13342,90,7,Fast Times at Ridgemont High,14.658885,14.66
6.4,35119,120,6.4,A Cry in the Dark,3.970538,3.97
6.1,21256,88,6.1,Born to Win,2.554758,2.55
7.4,14919,76,7.4,Batman: Mask of the Phantasm,7.29114,7.29
6.1,14040,113,6.1,American Flyers,5.50751,5.51
5.5,75641,155,5.5,Voyage of the Damned,1.12301,1.12
5.5,17343,89,5.5,Vampyros Lesbos,3.047838,3.05
6.3,22692,111,6.3,A Star Is Born,2.537508,2.54
6.4,47620,85,6.4,Poison,1.924535,1.92
6,2990,102,6,Pacific Heights,4.817146,4.82
6.2,38775,84,6.2,Night Tide,0.91597,0.92
6.9,10831,103,6.9,The Draughtsman's Contract,2.444637,2.44
5.9,21193,152,5.9,Carmen,1.490737,1.49
6.8,33078,115,6.8,A Zed & Two Noughts,3.464385,3.46
8.1,16672,147,8.1,Woman in the Dunes,9.768832,9.77
4.9,10472,91,4.9,Down to You,3.847088,3.85
0,123277,0,0,Hellhounds on My Trail: The Afterlife of Robert Johnson,0.008917,0.01
4.6,79474,125,4.6,"Not Love, Just Frenzy",0.217406,0.22
5.5,97805,0,5.5,Wirey Spindell,0.098181,0.1
6.4,53714,90,6.4,Another Man's Poison,2.021032,2.02
6.7,21489,130,6.7,The Odessa File,3.883002,3.88
6.4,51392,77,6.4,The Saphead,0.291058,0.29
7.3,32600,56,7.3,Seven Chances,4.590055,4.59
4.8,110479,96,4.8,Smashing Time,0.325212,0.33
0,299121,89,0,Train Ride to Hollywood,0.004393,0
6.1,13005,96,6.1,Where the Buffalo Roam,3.216608,3.22
7,65134,93,7,Zachariah,0.071054,0.07
0,121738,89,0,Kestrel's Eye,0.001722,0
5.3,18681,109,5.3,Eye of the Beholder,3.773058,3.77
4.6,75531,95,4.6,Isn't She Great,0.907927,0.91
5.8,20468,87,5.8,The Big Tease,1.116821,1.12
5.9,14521,93,5.9,The Cup,0.588543,0.59
6.3,46835,105,6.3,Santitos,0.28762,0.29
5.6,10406,88,5.6,Encino Man,8.000189,8
7.3,14741,111,7.3,The Goodbye Girl,3.937139,3.94
8,32015,141,8,I Am Cuba,2.254539,2.25
7.3,1883,202,7.3,Malcolm X,14.207001,14.21
6.5,2005,100,6.5,Sister Act,18.83065,18.83
5.9,6279,107,5.9,Sister Act 2: Back in the Habit,12.986842,12.99
6.5,11087,110,6.5,The Hand that Rocks the Cradle,6.672715,6.67
6.7,7305,120,6.7,Alive,8.662287,8.66
6.2,24735,98,6.2,Agnes of God,3.941689,3.94
7.3,9475,157,7.3,Scent of a Woman,14.505987,14.51
6.5,8872,94,6.5,Wayne's World,10.180776,10.18
5.8,8873,95,5.8,Wayne's World 2,10.931683,10.93
6.8,11287,128,6.8,A League of Their Own,10.852038,10.85
6.4,9869,117,6.4,Patriot Games,11.075674,11.08
6.2,619,129,6.2,The Bodyguard,9.805017,9.81
6.3,9374,104,6.3,Death Becomes Her,11.017417,11.02
6.3,11259,140,6.3,Far and Away,7.472753,7.47
7,8293,140,7,Howards End,10.854598,10.85
6.6,11068,99,6.6,Singles,10.450148,10.45
7.3,1923,134,7.3,Twin Peaks: Fire Walk with Me,8.736538,8.74
6.2,10158,115,6.2,White Men Can't Jump,8.795941,8.8
5.3,10206,86,5.3,Buffy the Vampire Slayer,4.941989,4.94
7.4,11782,126,7.4,Hard Boiled,10.184313,10.18
7.2,10086,95,7.2,Man Bites Dog,8.758096,8.76
6.6,9367,81,6.6,El Mariachi,9.972591,9.97
4.6,9876,87,4.6,Stop! Or My Mom Will Shoot,14.40112,14.4
6,10326,102,6,Forever Young,5.050509,5.05
6.6,16562,101,6.6,The Cutting Edge,3.8143,3.81
7.1,9609,110,7.1,Of Mice and Men,6.112112,6.11
6.9,12143,96,6.9,Bad Lieutenant,6.417037,6.42
5.7,4234,116,5.7,Scream 3,9.738371,9.74
6,9605,107,6,Single White Female,7.246119,7.25
7.2,8374,108,7.2,The Boondock Saints,12.457908,12.46
5.4,29076,101,5.4,Gun Shy,6.370105,6.37
6.1,80471,90,6.1,Beloved/Friend,0.600431,0.6
10,49477,87,10,Gendernauts: A Journey Through Shifting Identities,0.073744,0.07
0,121940,99,0,Knockout,0.31301,0.31
6.1,28156,84,6.1,The Baby,1.261534,1.26
7.3,113096,89,7.3,The Brandon Teena Story,0.107046,0.11
5.2,106837,97,5.2,Different for Girls,0.533219,0.53
6.4,24349,115,6.4,Minnie and Moskowitz,2.096508,2.1
7.3,27841,98,7.3,They Might Be Giants,2.303594,2.3
6.3,1907,119,6.3,The Beach,14.430311,14.43
4.8,15489,89,4.8,Snow Day,6.295701,6.3
6.3,15655,77,6.3,The Tigger Movie,7.023414,7.02
5.3,68546,124,5.3,Cotton Mary,0.30869,0.31
7.5,36210,106,7.5,Not One Less,1.896931,1.9
0,279444,107,0,Soft Toilet Seats,0.002341,0
4.5,77908,93,4.5,Trois,0.06431,0.06
7.2,22342,84,7.2,The Big Combo,1.787278,1.79
0,96484,85,0,Conceiving Ada,0.563712,0.56
4.9,30062,91,4.9,Eaten Alive,5.394715,5.39
5.7,62463,90,5.7,Raining Stones,1.592047,1.59
7.6,25934,105,7.6,"To Sir, with Love",8.138554,8.14
7.5,101383,82,7.5,With Byrd at the South Pole,0.10214,0.1
6.5,14181,118,6.5,Boiler Room,8.518425,8.52
5,10385,94,5,Hanging Up,6.474767,6.47
6.7,2787,108,6.7,Pitch Black,6.424399,6.42
6.3,2069,98,6.3,The Whole Nine Yards,12.061521,12.06
6,61416,107,6,Beautiful People,0.978894,0.98
7.1,79515,75,7.1,Black Tar Heroin: The Dark End of the Street,0.232074,0.23
7.2,14839,114,7.2,Blue Collar,1.379256,1.38
5.6,42186,72,5.6,Bluebeard,0.562477,0.56
8,28978,71,8,The Circus,6.714813,6.71
8.2,901,87,8.2,City Lights,10.891524,10.89
6,25010,100,6,The Flamingo Kid,4.418591,4.42
7.1,36208,33,7.1,A Dog's Life,1.972147,1.97
8,10098,68,8,The Kid,8.168456,8.17
6.8,18264,104,6.8,The Man from Laramie,5.678463,5.68
0,291861,93,0,The Wild McCullochs,0.594758,0.59
3.4,33374,84,3.4,Class Reunion,2.086059,2.09
5.2,43368,89,5.2,The Big Trees,0.966064,0.97
5,127602,97,5,Happy Go Lovely,0.074823,0.07
5.3,2155,124,5.3,Reindeer Games,12.11759,12.12
6.9,11004,111,6.9,Wonder Boys,5.922739,5.92
6.1,25212,101,6.1,Deterrence,3.682868,3.68
4.8,36048,93,4.8,Judy Berlin,0.316842,0.32
6.8,139,98,6.8,Mifune,2.539346,2.54
0,210307,85,0,The Waiting Game,1.169592,1.17
5.9,47816,82,5.9,3 Strikes,0.651625,0.65
5.9,20682,96,5.9,Chain of Fools,2.241861,2.24
5.4,25166,96,5.4,Drowning Mona,4.372616,4.37
4.3,1831,108,4.3,The Next Best Thing,2.971999,2.97
5.4,10416,105,5.4,What Planet Are You From?,1.994868,1.99
7.8,14271,102,7.8,Beyond the Mat,2.691433,2.69
7.2,4816,116,7.2,Ghost Dog: The Way of the Samurai,9.368099,9.37
7.3,19958,105,7.3,The Year My Voice Broke,1.334529,1.33
7.1,28569,124,7.1,Splendor in the Grass,9.739448,9.74
5.8,2193,97,5.8,My Tutor,4.67546,4.68
0,64871,67,0,The Legend of Lobo,0.017999,0.02
6.2,54575,138,6.2,The Killing of Sister George,0.487602,0.49
7.6,11016,100,7.6,Key Largo,7.588489,7.59
3.5,23020,74,3.5,Jail Bait,0.514993,0.51
5.3,54195,93,5.3,It Happened Here,0.352743,0.35
7,139058,97,7,I'll Never Forget What's'isname,0.29714,0.3
8.3,20423,80,8.3,For All Mankind,3.216292,3.22
6.6,10839,132,6.6,Cross of Iron,9.103168,9.1
4.2,36489,69,4.2,Bride of the Monster,1.406932,1.41
6.6,24481,103,6.6,Born Yesterday,6.085287,6.09
6.9,11296,120,6.9,Birdy,16.243093,16.24
3.8,61651,100,3.8,And God Created Woman,2.572665,2.57
5.3,28172,67,5.3,Blood Feast,1.783412,1.78
4.9,57855,75,4.9,"Charlie, the Lonesome Cougar",0.439681,0.44
5,28180,79,5,Color Me Blood Red,0.649273,0.65
6.9,14280,105,6.9,Never Cry Wolf,3.464922,3.46
7.3,72086,106,7.3,The Night Visitor,1.529024,1.53
8,149687,96,8,The Perils of Pauline,0.88763,0.89
7.1,29478,128,7.1,A Raisin in the Sun,2.501072,2.5
6.2,28177,87,6.2,Two Thousand Maniacs!,1.682434,1.68
6,64166,104,6,Brown's Requiem,0.283548,0.28
4.5,73642,93,4.5,The Closer You Get,0.427125,0.43
5.7,2067,114,5.7,Mission to Mars,9.021107,9.02
6.3,622,133,6.3,The Ninth Gate,11.316349,11.32
0,110666,0,0,Condo Painting,0.001191,0
7.5,28463,125,7.5,East/West,1.080972,1.08
6.5,12186,112,6.5,Defending Your Life,3.711347,3.71
7.4,20283,100,7.4,Breaking Away,4.806374,4.81
7.1,5693,114,7.1,Hoosiers,6.484495,6.48
6.6,287,108,6.6,Bull Durham,6.924072,6.92
7.6,968,125,7.6,Dog Day Afternoon,7.530126,7.53
6.9,838,110,6.9,American Graffiti,9.188584,9.19
7.5,16958,112,7.5,The Asphalt Jungle,12.86559,12.87
7.7,3114,119,7.7,The Searchers,7.803856,7.8
6.4,31938,130,6.4,The Devil's Brigade,3.007031,3.01
7.8,12501,165,7.8,The Big Country,4.671032,4.67
6.9,22650,118,6.9,Any Number Can Win,1.771915,1.77
5.6,31618,127,5.6,Betrayed,2.812811,2.81
7,42232,147,7,Bound for Glory,3.207471,3.21
6.2,15873,117,6.2,The Bridge at Remagen,3.425892,3.43
5,26928,102,5,Buck and the Preacher,2.098149,2.1
6.8,68427,112,6.8,Daughters of the Dust,1.09058,1.09
6.1,25392,91,6.1,Destination Moon,0.940976,0.94
5.7,67455,103,5.7,The Fantastic Night,0.543794,0.54
6.8,22178,134,6.8,Hangmen Also Die!,2.54637,2.55
6.4,48213,118,6.4,The Ogre,1.545354,1.55
6.7,35412,134,6.7,On the Beach,4.00437,4
6.6,43463,72,6.6,Railroaded!,1.344363,1.34
5,59939,93,5,Slaves to the Underground,0.425474,0.43
0,159727,80,0,Song of Freedom,0.013234,0.01
8,244151,0,8,Big Fella,0.444746,0.44
7.6,8333,104,7.6,The Taking of Pelham One Two Three,7.762833,7.76
5.6,19259,107,5.6,Volunteers,7.511384,7.51
7.5,820,189,7.5,JFK,13.813146,13.81
5.5,11718,94,5.5,Who's Harry Crumb?,7.102963,7.1
5.6,8989,110,5.6,Harry and the Hendersons,9.296024,9.3
4.7,32031,102,4.7,Let's Get Harry,0.500088,0.5
2.9,58048,97,2.9,Shanghai Surprise,1.408849,1.41
5.2,26827,92,5.2,Who's That Girl,3.78346,3.78
5.4,11157,99,5.4,She-Devil,4.282807,4.28
5.6,28370,105,5.6,Date With an Angel,1.600871,1.6
5.6,918,95,5.6,Blind Date,6.696292,6.7
5.5,61178,83,5.5,Nadine,7.569698,7.57
7,11176,97,7,The Muppet Movie,6.769866,6.77
6.9,14900,95,6.9,The Great Muppet Caper,8.87534,8.88
6.5,11899,94,6.5,The Muppets Take Manhattan,5.89335,5.89
6.5,36536,88,6.5,Sesame Street Presents Follow That Bird,1.779267,1.78
5.8,18890,72,5.8,We're Back! A Dinosaur's Story,13.58903,13.59
5.3,19736,95,5.3,Baby: Secret of the Lost Legend,1.697935,1.7
8.3,123047,97,8.3,Turtle Diary,0.794209,0.79
5.2,24575,115,5.2,Raise the Titanic,2.132843,2.13
6.2,16535,98,6.2,Titanic,12.90707,12.91
7.5,10971,123,7.5,A Night to Remember,6.560231,6.56
6.5,23928,117,6.5,Captain Horatio Hornblower R.N.,1.577618,1.58
7.3,31336,94,7.3,The Carriers Are Waiting,0.3943,0.39
7.1,462,131,7.1,Erin Brockovich,10.135446,10.14
6.4,9532,98,6.4,Final Destination,14.961416,14.96
0,117259,101,0,Soft Fruit,0.086721,0.09
3,78231,82,3,Babymother,0.072567,0.07
6.9,2383,94,6.9,The Bear,4.158572,4.16
5.8,25503,111,5.8,Impact,1.551252,1.55
5.8,53879,102,5.8,Love Is a Many-Splendored Thing,1.553697,1.55
7.8,1396,106,7.8,Mirror,10.11584,10.12
6.9,11570,105,6.9,The Crimson Pirate,2.255459,2.26
7.2,1541,130,7.2,Thelma & Louise,14.785388,14.79
